PDF Name,Summary,Clinical Field,DOI Link,Citation,Title,Author,Diagnostic Task,Feature,Key Finding
Hagar_Radiology2023_Alpha_UHR_for_detecting_CAD_in_high_risk_population_172.pdf,"
==========
Summary for Hagar_Radiology2023_Alpha_UHR_for_detecting_CAD_in_high_risk_population_172.pdf
==========
### Structured Summary  - **First Author:** Muhammad Taha Hagar, MD - **Study Location:** Medical Center–University of Freiburg, Faculty of Medicine, University of Freiburg, Germany - **Clinical Field:** Cardiac Imaging - **Clinical Task or Condition:** Detection of coronary artery disease (CAD) in patients with severe aortic stenosis indicated for transcatheter aortic valve replacement (TAVR). - **Key Findings:**   1. Ultrahigh-resolution (UHR) photon-counting coronary CT angiography (CCTA) demonstrated high diagnostic accuracy with 96% sensitivity, 84% specificity, and 88% accuracy in detecting CAD.   2. The area under the receiver operating characteristic curve (AUC) for CAD detection was 0.93 per participant, 0.94 per vessel, and 0.92 per segment.   3. Excellent image quality was achieved, with a median subjective image quality score of 1.5, and 79% of segments rated as good or excellent. - **Post-Processing Techniques:** Not specified. - **Technical Features:** The study leveraged photon-counting technology for improved spatial resolution (0.11 mm), reduced calcium-induced blooming artifacts, and enhanced image quality.  ### CT Scan and Reconstruction Protocol  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|--------------------|----------------| | UHR CCTA      | 120 or 140         | Automated         | 0.25              | 0.2   | 0.2                  | Quantum Iterative Reconstruction Level 3 | Bv56   | Not Specified    | None Specified            | High spatial resolution, reduced blooming artifacts | Mean CTDI 67.7 mGy, mean effective dose 13.3 mSv |  Note: If specific details are not mentioned or are unclear, they are indicated as 'Not Specified'.",Cardiac,https://doi.org/10.1148/radiol.223305,"Hagar, M. et al. (2023). Accuracy of Ultrahigh-Resolution Photon-counting CT for Detecting Coronary Artery Disease in a High-Risk Population. Radiology, 307(5), .",Accuracy of Ultrahigh-Resolution Photon-counting CT for Detecting Coronary Artery Disease in a High-Risk Population,Hagar,Coronary Artery Imaging,Ultra High Resolution,"Image Quality, Diagnostic Performance Metrics"
Hagar_EurRadiol2024_Alpha_UHR_coronary_stent_patency_in_patients_vs_ICA_264.pdf,"
==========
Summary for Hagar_EurRadiol2024_Alpha_UHR_coronary_stent_patency_in_patients_vs_ICA_264.pdf
==========
- **First Author**: Muhammad Taha Hagar - **Study Location**: University of Freiburg Medical Center, Germany - **Clinical Field**: Cardiac - **Clinical Task or Condition**: Evaluation of coronary stent patency using ultra-high-resolution photon-counting detector CT angiography (UHR PCD-CTA) compared to invasive coronary angiography (ICA). - **Key Findings**:   1. UHR PCD-CTA demonstrated high diagnostic accuracy for assessing coronary stent patency with a sensitivity of 100%, specificity of 92.3% for reader 1, and 87.2% for reader 2.   2. The negative predictive value (NPV) was 100% for both readers, indicating UHR PCD-CTA's effectiveness in ruling out in-stent stenosis.   3. Inter-reader agreement for stent patency assessment was substantial, with a Cohen’s kappa value of 0.72. - **Post-Processing Techniques**: Sharp vascular convolution kernel (Bv-60) with quantum iterative reconstruction at level 3. - **Technical Features**: Utilization of photon-counting technology enabled improved spatial resolution (0.11 mm), reducing stent-induced artifacts and enhancing in-stent lumen visibility.  ### CT Scan and Reconstruction Protocol  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|-------------------|----------------| | UHR PCD-CTA   | 120/140            | Not Specified     | Not Specified     | Not Specified | 0.2                  | Quantum Iterative Reconstruction | Bv-60  | Not Specified     | None specified other than sharp vascular kernel | Higher spatial resolution, reduced blooming | CTDIvol: 70.2 mGy, DLP: 994 mGy*cm |  Note: Some specific scan parameters and details on post-processing techniques were not specified or unclear in the study.",Cardiac,https://doi.org/10.1007/s00330-023-10516-3,"Hagar, M. et al. (2024). Ultra-high-resolution photon-counting detector CT in evaluating coronary stent patency: a comparison to invasive coronary angiography. European Radiology, 34(7), 4273-4283.",Ultra-high-resolution photon-counting detector CT in evaluating coronary stent patency: a comparison to invasive coronary angiography,Hagar,Stent and Vascular Device Imaging,Ultra High Resolution,"Image Quality, Diagnostic Performance Metrics"
Halfmann_Radiology2024_Alpha_UHR_CCTA_for_coronary_stenosis_assessment_308.pdf,"
==========
Summary for Halfmann_Radiology2024_Alpha_UHR_CCTA_for_coronary_stenosis_assessment_308.pdf
==========
- **First Author:** Moritz C. Halfmann, MD - **Study Location:** University Medical Center of the Johannes Gutenberg-University, Mainz, Germany - **Clinical Field:** Cardiac Imaging - **Clinical Task or Condition:** Assessment of coronary artery stenosis in coronary artery disease (CAD), focusing on the impact of ultrahigh-spatial-resolution photon-counting detector (PCD) CT on stenosis quantification and CAD-RADS reclassification. - **Key Findings:**   1. **In Vitro Accuracy:** Ultrahigh-spatial-resolution PCD CT showed more accurate stenosis measurements compared to standard resolution, with mean biases of 2.3% vs. 10.1% (P < .001).   2. **In Vivo Stenosis Assessment:** Median diameter stenosis (DS) was significantly lower with ultrahigh-resolution imaging for calcified stenoses (26.7% vs. 41.5% with standard resolution; P < .001).   3. **Reclassification Impact:** 54.4% of patients were reclassified to a lower CAD-RADS category using ultrahigh-resolution imaging, potentially reducing unnecessary additional testing. - **Post-Processing Techniques:** Not specified. - **Technical Features:** Improved spatial resolution with ultrahigh-resolution mode (0.2 mm section thickness) reduced blooming artifacts from calcified plaques, allowing for better stenosis assessment.  ### CT Scan and Reconstruction Protocol Information  | Protocol Name       | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features                 | Radiation Dose                  | |---------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|----------------------------|------------------------------------|---------------------------------| | Standard Resolution | 120                | Not Specified     | 0.25              | Not Specified | 0.6                  | Quantum Iterative | Bv44   | Center: 200, Width: 750 | Not specified              | Simulated standard resolution      | CTDI: 9.3 mGy (IQR: 8.6–11.2)   | | High Resolution     | 120                | Not Specified     | 0.25              | Not Specified | 0.4                  | Quantum Iterative | Bv44   | Center: 200, Width: 750 | Not specified              | Improved spatial resolution        | CTDI: 21.3 mGy (IQR: 18.8–25.7) | | Ultrahigh Resolution| 120                | Not Specified     | 0.25              | Not Specified | 0.2                  | Quantum Iterative | Bv64   | Center: 200, Width: 750 | Not specified              | Highest spatial resolution, reduced blooming | CTDI: 36.1 mGy (IQR: 30.0–37.8) |  Note: The specific details such as tube current and pitch were not specified in the study.",Cardiac,https://doi.org/10.1148/radiol.231956,"Halfmann, M. et al. (2024). Ultrahigh-Spatial-Resolution Photon-counting Detector CT Angiography of Coronary Artery Disease for Stenosis Assessment. Radiology, 310(2), .",Ultrahigh-Spatial-Resolution Photon-counting Detector CT Angiography of Coronary Artery Disease for Stenosis Assessment,Halfmann,Coronary Artery Imaging,Ultra High Resolution,Diagnostic Performance Metrics
Hartung_AcadRadiol2024_Alpha_UHR_vs_SR_for_imaging_femoral_stents_in_cadaveric_perfusion_model_442.pdf,"
==========
Summary for Hartung_AcadRadiol2024_Alpha_UHR_vs_SR_for_imaging_femoral_stents_in_cadaveric_perfusion_model_442.pdf
==========
**Structured Summary:**  - **First Author:** Viktor Hartung - **Study Location:** University Hospital Würzburg, Würzburg, Germany - **Clinical Field:** Vascular Imaging - **Clinical Task or Condition:** The study focuses on imaging femoral stents in a cadaveric perfusion model to compare standard resolution (SR) and ultra-high resolution (UHR) modes of photon-counting detector CT (PCD-CT) for peripheral arterial disease (PAD) assessment. - **Key Findings:**   1. Lumen visibility was comparable between SR and UHR modes across different dose levels. However, UHR mode significantly increased the contrast-to-noise ratio (CNR) for sharp convolution kernels such as BV60 (19.9 ± 1.9 vs. 15.7 ± 1.6, p < 0.046) and BV76 (8.0 ± 0.6 vs. 5.4 ± 0.3, p < 0.001).   2. The CNR increase was more pronounced at lower doses, with a 48% increase at low dose compared to 36% at high dose for BV76.   3. Subjective image quality was preferred in UHR mode for all kernels, with BV76 rated highest, suggesting potential for further dose reduction. - **Post-Processing Techniques:** The study utilized various vascular convolution kernels (BV40, BV48, BV60, BV76) and iterative reconstruction (QIR, strength level 3). - **Technical Features:** The study leveraged the higher spatial resolution and reduced electronic noise of photon-counting technology, particularly beneficial in ultra-high resolution mode for detailed stent visualization.  **CT Scan and Reconstruction Protocol Table:**  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|----------------------------|--------------------|----------------| | Standard Resolution (SR) | 120 | 39-126 (depending on dose) | 0.5 | 0.9 | 1.0 | Iterative Reconstruction (QIR) | BV40, BV48, BV60, BV76 | 1500/400 | None specified | High geometric dose efficiency | CTDI Vol = 3, 5, 10 mGy | | Ultra-High Resolution (UHR) | 120 | 39-126 (depending on dose) | 0.5 | 0.4 | 1.0 | Iterative Reconstruction (QIR) | BV40, BV48, BV60, BV76 | 1500/400 | None specified | Higher spatial resolution, reduced electronic noise | CTDI Vol = 3, 5, 10 mGy |  **Notes:** - The study compared SR and UHR modes using a fixed tube voltage of 120 kVp with varying tube currents based on dose levels. - The study highlighted the potential for dose reduction and improved image quality using UHR mode, especially with ultra-sharp kernels.",Cardiac,https://doi.org/10.1016/j.acra.2024.07.038,"Hartung, V. et al. (2025). Ultra-high Versus Standard Resolution Photon-Counting Detector CT Angiography for Imaging of Femoral Stents in a Cadaveric Perfusion Model. Academic Radiology, 32(1), 556-564.",Ultra-high Versus Standard Resolution Photon-Counting Detector CT Angiography for Imaging of Femoral Stents in a Cadaveric Perfusion Model,Hartung,Stent and Vascular Device Imaging,Ultra High Resolution,"Image Quality, Reduced Radiation Dose"
McCollough_Radiology2023_Alpha_vs_Force_for_visual_estimation_of_coronary_stenosis_250.pdf,"
==========
Summary for McCollough_Radiology2023_Alpha_vs_Force_for_visual_estimation_of_coronary_stenosis_250.pdf
==========
### Structured Summary  - **First Author**: Cynthia H. McCollough, PhD - **Study Location**: Mayo Clinic, Rochester, MN, USA - **Clinical Field**: Cardiac Imaging - **Clinical Task or Condition**: The study focused on evaluating the visual and quantitative estimation of percent diameter luminal stenosis in coronary CT angiography, comparing photon-counting detector (PCD) CT with energy-integrating detector (EID) CT. This is relevant for detecting and characterizing coronary artery disease, particularly in the presence of calcified plaques.  - **Key Findings**:   1. Visual estimates of percent stenosis were significantly lower with PCD CT compared to EID CT. Reader 1 reported a median stenosis of 20.6% with PCD CT versus 31.8% with EID CT (P < .001), while Reader 2 reported 6.5% versus 22.9% (P = .002).   2. No significant difference was found in quantitative measures of percent stenosis between PCD CT and EID CT (median difference, −1.5%; P = .51).   3. PCD CT reduced calcium blooming artifacts, leading to smaller visual estimates of calcifications and more accurate stenosis assessment.  - **Post-Processing Techniques**: Virtual monoenergetic images (VMIs) were created at 50 keV and 100 keV, with 100 keV used to reduce calcium blooming.  - **Technical Features**: PCD CT provided improved spatial resolution and reduced calcium blooming artifacts due to smaller detector pixels and the use of high-energy VMIs, enhancing the accuracy of coronary stenosis assessment.  ### CT Scan and Reconstruction Protocol  | Protocol Name      | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |--------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|-------------------|----------------| | EID CT Protocol    | 120 (CARE kV)     | 120 mA·sec        | 0.25              | Adaptive | 0.6                  | Iterative      | Bv40   | 500/1500 HU     | None                      | Standard          | 25.7 mGy ± 15.0 | | PCD CT Protocol    | 120                | CARE kV 32        | 0.25              | Adaptive | 0.4                  | Iterative      | Bv48/Bv56 | 500/1500 HU (VMI) | VMI 50 keV, 100 keV       | Higher resolution | 7.4 mGy ± 3.1  |  Note: The PCD CT protocol utilized sharper kernels and VMI to reduce calcium blooming and improve visualization of stenosis.",Cardiac,https://doi.org/10.1148/radiol.230853,"McCollough, C. et al. (2023). Comparison of Photon-counting Detector and Energy-integrating Detector CT for Visual Estimation of Coronary Percent Luminal Stenosis. Radiology, 309(3), .",Comparison of Photon-counting Detector and Energy-integrating Detector CT for Visual Estimation of Coronary Percent Luminal Stenosis,McCollough,Coronary Artery Imaging,"Spectral Feature, High Resolution",Image Quality
Mergen_FrontCardiovascMed2022_Alpha_UHR_CCTA_quantitative_plaque_characterization_63.pdf,"
==========
Summary for Mergen_FrontCardiovascMed2022_Alpha_UHR_CCTA_quantitative_plaque_characterization_63.pdf
==========
### Structured Summary  - **First Author**: Victor Mergen - **Study Location**: University Hospital Zurich, University of Zurich, Switzerland - **Clinical Field**: Cardiovascular Imaging - **Clinical Task or Condition**: The study focused on the quantitative characterization of coronary plaques using ultra-high-resolution coronary CT angiography (CCTA) with photon-counting detector CT (PCD-CT). The goal was to assess the impact of PCD-CT on the visualization and quantification of different plaque components, which is relevant for improving detection and risk stratification of coronary artery disease. - **Key Findings**:   1. Ultra-high-resolution PCD-CT reconstructions with a slice thickness of 0.2 mm and the Bv64 kernel showed significantly lower total plaque volumes and calciﬁed plaque components compared to standard reconstructions (p<0.001), suggesting reduced blooming artifacts.   2. The volume of lipid-rich plaque components was higher in ultra-high-resolution reconstructions (6.7%, interquartiles 5.1–8.4%) compared to standard reconstructions (0.5%, interquartiles 0.0–1.5%), indicating improved visualization of non-calciﬁed components.   3. The study suggests that ultra-high-resolution PCD-CT may enhance the delineation of non-calciﬁed plaque components, which are important for risk prediction in coronary artery disease. - **Post-Processing Techniques**: The study used quantum iterative reconstruction at a strength level of 4. No specific spectral post-processing techniques like VNC or VMI were applied as the ultra-high-resolution mode did not allow for spectral information collection. - **Technical Features**: The study leveraged the ultra-high-resolution capability of PCD-CT, with a spatial resolution of 0.11 mm x 0.11 mm in-plane and 0.16 mm through-plane. This technology offers improved resolution and reduced blooming artifacts, facilitating better visualization of plaque components.  ### CT Scan and Reconstruction Protocol  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|--------------------|----------------| | Ultra-high-resolution CCTA | 120                | Not Specified      | Not Specified     | 0.22–0.28 (heart rate dependent) | 0.2, 0.4, 0.6          | Quantum Iterative Reconstruction | Bv40, Bv64 | Not Specified      | None (single energy threshold at 20 keV) | High spatial resolution, reduced blooming artifacts | CTDI vol 28.1–36.8 mGy |  Note: Some parameters such as tube current and specific window settings were not specified in the study.",Cardiac,https://doi.org/10.3389/fcvm.2022.981012,"Mergen, V. et al. (2022). First in-human quantitative plaque characterization with ultra-high resolution coronary photon-counting CT angiography. Frontiers in Cardiovascular Medicine, 9(), .",First in-human quantitative plaque characterization with ultra-high resolution coronary photon-counting CT angiography,Mergen,Plaque Characterization,Ultra High Resolution,Image Quality
Mergen_InvestRadiol2022_Alpha_UHR_CCTA.pdf,"
==========
Summary for Mergen_InvestRadiol2022_Alpha_UHR_CCTA.pdf
==========
### Structured Summary  - **First Author:** Victor Mergen, MD - **Study Location:** University Hospital Zurich, University of Zurich, Zurich, Switzerland - **Clinical Field:** Cardiac Imaging - **Clinical Task or Condition:** The study focuses on ultra-high-resolution coronary computed tomography angiography (CCTA) using photon-counting detector CT (PCD-CT) for patients with high coronary calcium load. The relevance lies in improving the detection and characterization of coronary artery plaques, especially in the presence of severe calcifications which can lead to diagnostic inaccuracies. - **Key Findings:**   1. **Feasibility and Image Quality:** Ultra-high-resolution CCTA was feasible in all patients and provided high-quality images. The Bv64 and Bv72 kernels offered excellent visualization of coronary plaques and adjacent vessel lumen with reduced blooming artifacts.   2. **Objective Measurements:** Reconstructions with the Bv40 kernel and a slice thickness of 0.6 mm showed the highest SNR (27.4 ± 5.6) and CNR (32.9 ± 6.6), but with increased blooming artifacts (55.2% ± 9.8%).   3. **Subjective Image Quality:** Both readers favored the Bv64 and Bv72 kernels for excellent delineation of coronary plaques and vessel lumen, supporting the objective findings. - **Post-Processing Techniques:** Quantum iterative reconstruction (QIR) was used at a strength level of 4 across various vascular kernels. - **Technical Features:** The use of photon-counting technology allowed for improved spatial resolution with a maximum in-plane resolution of 0.11 mm and through-plane resolution of 0.16 mm. This technology also enabled better vessel sharpness and reduced partial volume effects.  ### CT Scan and Reconstruction Protocol Table  | Protocol Name        | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features           | Radiation Dose                | |----------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|---------------------------------|-------------------------------| | Ultra-High-Resolution CCTA | 120                | Automated (IQ level 64) | 0.25              | 0.19-0.32 | 0.2, 0.6                | Quantum Iterative Reconstruction | Bv40 to Bv89 | Width: 1000 HU, Level: 250 HU | None | Improved spatial resolution, reduced blooming | CTDI_vol: 38.2 ± 11.1 mGy |  Note: The protocol involved a dual-source helical mode with retrospective ECG-gating. The study highlighted the importance of selecting appropriate reconstruction parameters (kernel, FOV, matrix size) to optimize image quality.",Cardiac,https://doi.org/10.1097/RLI.0000000000000897,"Mergen, V. et al. (2022). Ultra-High-Resolution Coronary CT Angiography With Photon-Counting Detector CT. Investigative Radiology, 57(12), 780-788.",Ultra-High-Resolution Coronary CT Angiography With Photon-Counting Detector CT,Mergen,Coronary Artery Imaging,Ultra High Resolution,Image Quality
Ohlsson_EurHeartJImagingMethodsPract2024_Alpha_hemodynamic_significance_of_graft_stenoses_during_HeartMate3_therapy_473.pdf,"
==========
Summary for Ohlsson_EurHeartJImagingMethodsPract2024_Alpha_hemodynamic_significance_of_graft_stenoses_during_HeartMate3_therapy_473.pdf
==========
### Structured Summary  - **First Author**: Linus Ohlsson - **Study Location**: Linköping University, Sweden - **Clinical Field**: Cardiac - **Clinical Task or Condition**: The study focuses on the hemodynamic significance of extrinsic outflow graft stenoses in patients undergoing HeartMate 3™ therapy. The study is relevant for assessing the impact of stenoses on patients with left ventricular assist devices (LVADs), which can affect detection, characterization, and management strategies for these patients. - **Key Findings**:   1. The study found that for stenosis severities below a 61% decrease in cross-sectional area, the hemodynamic impact of extrinsic outflow graft obstruction (eOGO) was low, suggesting that such stenoses might not necessitate immediate intervention if the patient is asymptomatic.   2. Pressure gradients across the stenoses were minor, ranging from 1 to 9 mmHg, even with increased stenosis severity and flow rates, indicating that visual or quantitative assessments of stenosis might overestimate clinical significance.   3. There was a strong correlation between device flow rate and pressure gradient in one of the cases, highlighting the importance of considering flow conditions in the assessment of stenosis impact. - **Post-Processing Techniques**: Virtual mono-energetic reconstructions at 110 keV were used for image evaluation and segmentation. - **Technical Features**: The study utilized a photon-counting CT system, which provided improved spectral and spatial resolution, reduced electronic noise, and minimized metal artifacts, enhancing the quality of imaging around the metallic components of the HeartMate 3 device.  ### CT Scan and Reconstruction Protocol Table  | Protocol Name     | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features                        | Radiation Dose | |-------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|----------------------------|--------------------------------------------|----------------| | HeartMate 3 Study | 120                | Not Specified     | Not Specified     | 0.17  | 0.4 (segmentation) / 1.5 (evaluation) | Not Specified | Bv40 (evaluation) / Bv56 (segmentation) | Not Specified | VMI 110 keV | Improved spectral and spatial resolution, reduced noise, minimized metal artifacts | Not Specified |  **Note**: Some scan and reconstruction parameters, such as the tube current and rotation time, were not specified in the study details.",Cardiac,https://doi.org/10.1093/ehjimp/qyae082,"Ohlsson, L. et al. (2024). Haemodynamic significance of extrinsic outflow graft stenoses during HeartMate 3™ therapy. European Heart Journal - Imaging Methods and Practice, 2(3), .",Haemodynamic significance of extrinsic outflow graft stenoses during HeartMate 3™ therapy,Ohlsson,General Cardiac Imaging,"Spectral Feature, High Resolution",Patient Management and Outcomes
Qin_EurRadiol2024_Alpha_UHR_coronary_stent_visualization_368.pdf,"
==========
Summary for Qin_EurRadiol2024_Alpha_UHR_coronary_stent_visualization_368.pdf
==========
### Structured Summary  - **First Author**: Le Qin - **Study Location**: Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China. - **Clinical Field**: Cardiac - **Clinical Task or Condition**: The study focuses on the visualization and diagnostic performance of coronary stents using ultra-high-resolution photon-counting detector CT (PCD-CT) in coronary CT angiography (CCTA) to enhance the assessment of in-stent restenosis (ISR). - **Key Findings**:   1. Ultra-high-resolution (UHR) images demonstrated significantly larger in-stent lumen diameters compared to standard-resolution (SR) images (p < 0.001). UHR-Bv72 and UHR-Bv76 kernels provided the best visualization of in-stent lumen diameters (2.17 [1.93, 2.63] mm vs. 2.20 [1.93, 2.59] mm).   2. UHR-Bv72 images significantly reduced blooming artifacts and improved diagnostic confidence compared to other kernels (p < 0.001), achieving a diagnostic accuracy of 88.0% (95% CI: 68.8%–97.5%) versus 78.3% (95% CI: 56.3%–92.5%) for SR images.   3. UHR CCTA improved visualization and diagnostic performance of coronary stents, potentially reducing the need for invasive coronary angiography. - **Post-Processing Techniques**: None specified beyond the use of various reconstruction kernels. - **Technical Features**: The study utilized the ultra-high resolution capability of PCD-CT, which provides higher spatial resolution and reduces blooming artifacts, enhancing the visualization of coronary stents.  ### CT Scan and Reconstruction Protocol  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel    | Window Settings | Post-Processing Techniques | Technical Features             | Radiation Dose          | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|-----------|-----------------|---------------------------|--------------------------------|-------------------------| | UHR CCTA      | 120                | 47.3 ± 7.5        | 0.25              | 0.19–0.32 | 0.2                  | Quantum Iterative Reconstruction (QIR) | Bv48, Bv56, Bv60, Bv64, Bv72, Bv76 | 450/1500 HU | None specified                | Ultra-high spatial resolution, reduced blooming artifacts | Effective dose: 8.5 ± 2.6 mSv |  Note: The table provides a summary of the CT scan and reconstruction protocols used in the study, including technical features and radiation dose information. The study highlights the advantages of using UHR PCD-CT for improved coronary stent visualization.",Cardiac,https://doi.org/10.1007/s00330-024-10760-1,"Qin, L. et al. (2024). Improvement of coronary stent visualization using ultra-high-resolution photon-counting detector CT. European Radiology, 34(10), 6568-6577.",Improvement of coronary stent visualization using ultra-high-resolution photon-counting detector CT,Qin,Stent and Vascular Device Imaging,Ultra High Resolution,"Image Quality, Diagnostic Performance Metrics"
TurrionGomollon_InvestRadiol2023_Alpha_CTA_for_endoleak_detection_after_EVAR_176.pdf,"
==========
Summary for TurrionGomollon_InvestRadiol2023_Alpha_CTA_for_endoleak_detection_after_EVAR_176.pdf
==========
### Structured Summary:  - **First Author:** Ana Maria Turrion Gomollon, MD - **Study Location:** University Hospital Zurich, University of Zurich, Zurich, Switzerland - **Clinical Field:** Vascular Imaging - **Clinical Task or Condition:** Detection of endoleaks following endovascular abdominal aortic aneurysm repair (EVAR). - **Key Findings:**   1. Endoleak detection was comparable between triphasic CT with true noncontrast (TNC) and biphasic CT with virtual noniodine (VNI) images, with sensitivity and specificity values for VNI being 0.95/0.86 (Reader 1) and 0.88/0.94 (Reader 2).   2. Interreader agreement for endoleak detection was substantial, with Krippendorf α values of 0.716 for TNC and 0.756 for VNI.   3. Subjective image noise was comparable between TNC and VNI, although objective image noise was slightly higher in TNC (12.7 HU) compared to VNI (11.5 HU). - **Post-Processing Techniques:** Virtual noniodine imaging (VNI) at 70 keV, Virtual Monoenergetic Images (VMI) at 55 keV and 60 keV for arterial and venous phases, respectively. - **Technical Features:** Photon-counting detector CT (PCD-CT) facilitated improved spectral separation and contrast resolution, allowing for effective VNI imaging and potential radiation dose reduction by omitting the TNC phase.  ### CT Scan and Reconstruction Protocol:  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|---------------------|-------------------|-------------------|-------|----------------------|----------------|--------|----------------|---------------------------|-------------------|----------------| | Triphasic CT  | 120                 | Automated         | 0.25              | 1.2   | 2                    | Quantum Iterative Reconstruction | Br36 (TNC), Qr36 (VNI) | Standard        | VNI 70 keV, VMI 55-60 keV  | Improved spectral separation, reduced noise | Reduced by eliminating TNC phase |  Note: The study suggests a potential radiation dose reduction of 38% by omitting the TNC phase in follow-up imaging after EVAR.",Cardiac,https://doi.org/10.1097/RLI.0000000000000993,"Turrion Gomollon, A. et al. (2023). Photon-Counting Detector CT Angiography for Endoleak Detection After Endovascular Aortic Repair. Investigative Radiology, (), .",Photon-Counting Detector CT Angiography for Endoleak Detection After Endovascular Aortic Repair,Turrion Gomollon,Stent and Vascular Device Imaging,"Spectral Feature, High Resolution","Image Quality, Reduced Radiation Dose"
